Men's Dressage, Team;Dressage par équipes (H);
Men's Jumping, Individual;Saut d'Obstacles Individuel (H);
Men's Jumping, Team;Saut d'Obstacles par équipes (H);
Men's Vaulting, Individual;Voltige Individuel mixte;
Men's Vaulting, Team;Voltige par équipes;
Men's Three-Day Event, Individual;Epreuve de 3 jours, Individuel (H);
Men's Three-Day Event, Team;Epreueve de 3 jours, par équipes (H);
Eventing Individual;Concours Complet d'Équitation Individuel;
Eventing Team;Concours Complet d'Équitation par équipe mixte;
Mixed Jumping, Individual;Saut d'Obstacles Individuel mixte;
Mixed Jumping, Team;Saut d'Obstacles par équipes;
Mixed Long Jump;Saut en longueur mixte;
Mixed High Jump;Saut en hauteur mixte;
Mixed Dressage, Individual;Dressage Individuel mixte;
Mixed Dressage, Team;Dressage par équipes mixte;
Mixed Hacks And Hunter Combined;Chevaux de selle combiné mixte;
Mixed Three-Day Event, Individual;Epreuve de 3 jours, Individuel, Mixte;
Mixed Three-Day Event, Team;Epreuve de 3 jours, Par Equipes, Mixte;
Mixed Four-In-Hand Competition;Compétition Attelage 4 chevaux mixte;
Men's epee, Individual;Épée Individuel (H);
Men's epee, Team;Épée Équipe (H);
Men's Foil, Individual;Fleuret Individuel (H);
Men's Foil, Team;Fleuret Équipe (H);
Men's Sabre, Individual;Sabre Individuel (H);
Men's Sabre, Team;Sabre Équipe (H);
Women's epee, Individual;Épée Individuel (F);
Women's epee, Team;Épée Équipe (F);
Women's Foil, Individual;Fleuret Individuel (F);
Women's Foil, Team;Fleuret Équipe (F);
Women's Sabre, Individual;Sabre Individuel (F);
Women's Sabre, Team;Sabre Équipe (F);
Men's Foil, Masters, Individual;Fleuret maître d'armes (H);
Men's Sabre, Masters, Individual;Sabre maître d'armes (H);
Men's epee, Masters and Amateurs, Individual;épée amateurs/maîtres d'armes (H);
Men's epee, Masters, Individual;Epée maître d'armes (H);
Men's Sabre, Individual, Three Hits;Sabre individuel 3 coups (H);
Men's Single Sticks, Individual;Escrime au bâton (H);
Men's Football;Football (H);
Women's Football;Football (F);
Men's Individual Stroke Play;Stroke Play Individuel (H);
Women's Individual Stroke Play;Stroke Play Individuel (F);
Individual women;Individuel (F);
Individual men;Individuel (H);
Team men;Par équipes (H);
Men's Handball;Handball (H);
Women's Handball;Handball (F);
Men's Hockey;Hockey sur Gazon (H);
Women's Hockey;Hockey sur Gazon (F);
;;
Men's Extra-Lightweight;Poids extra-légers(H);
Men's Half-Heavyweight;Poids mi-lourds (H);
Men's Half-Lightweight;Poids mi-légers (H);
Men's Half-Middleweight;Poids moyens-légers (H);
Men's Open Class;Toutes catégories (H);
Women's Extra-Lightweight;Poids extra-légers (F);
Women's Half-Heavyweight;Poids mi-lourds (F);
Women's Half-Lightweight;Poids mi-légers (F);
Women's Half-Middleweight;Poids moyens-légers (F);
